# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	42107
#@/user_id	8d82608b-c9dc-447a-b88f-fa6f65555da6
a 	啊	c=198 d=1.50015 t=41900
gua shang 	挂上	c=1 d=1 t=13329
gua zai 	挂在	c=2 d=1 t=28181
gua zeng 	挂增	c=1 d=1 t=5003
gua zhe 	挂着	c=2 d=1.40052 t=10385
guai 	怪	c=1 d=1 t=2074
guai bu de 	怪不得	c=4 d=1 t=26882
guan 	关	c=2 d=1 t=36340
guan 	管	c=4 d=0.100129 t=32166
guan bi 	关闭	c=6 d=1 t=32090
guan bu liao 	关不了	c=1 d=1 t=36832
guan fang 	官方	c=3 d=1 t=34111
guan ji 	关机	c=2 d=1.99501 t=37875
guan jian 	关键	c=2 d=1.60957 t=2913
guan jian ci 	关键词	c=2 d=1.97531 t=17401
guan jun 	冠军	c=1 d=1 t=26829
guan kong 	管控	c=2 d=1 t=18152
guan lan 	灌篮	c=1 d=1 t=3767
guan lan 	观澜	c=1 d=1 t=3766
guan le 	关了	c=5 d=1.00006 t=35257
guan le 	管了	c=1 d=1 t=13997
guan li 	管理	c=22 d=1.46565 t=33226
guan li fei 	管理费	c=2 d=1 t=16956
guan li hou tai 	管理后台	c=1 d=1 t=22366
guan li yuan 	管理员	c=14 d=1 t=31895
guan lian 	关联	c=1 d=1 t=34557
guan wang 	官网	c=14 d=2.64076 t=30620
guan wang jia 	官网价	c=1 d=1 t=28316
guan xi 	关系	c=10 d=1 t=40119
guan yu 	关于	c=1 d=1 t=18566
guan zhu 	关注	c=2 d=1 t=18559
guang 	光	c=2 d=1.25032 t=27379
guang 	广	c=1 d=1 t=19036
guang an men 	广安门	c=4 d=1 t=38144
guang dian 	广电	c=1 d=1 t=37636
guang dong 	广东	c=3 d=2.95101 t=42066
guang gao 	广告	c=4 d=1.00924 t=9777
guang gao ci 	广告词	c=1 d=1 t=21026
guang kan 	光看	c=1 d=1 t=9213
guang mao 	光猫	c=7 d=1.31086 t=22421
guang mao 	广袤	c=1 d=1 t=14435
guang xian 	光纤	c=1 d=1 t=22445
guang yong 	光用	c=1 d=1 t=24397
guang zhou 	广州	c=3 d=1.96079 t=41431
gui 	归	c=2 d=1 t=32978
gui 	贵	c=11 d=1 t=36784
gui dang 	归档	c=1 d=1 t=36786
gui dian 	贵点	c=1 d=1 t=6075
gui ding 	规定	c=1 d=1 t=37468
gui gu 	硅谷	c=1 d=1 t=25063
gui hua 	规划	c=1 d=1 t=22231
gui le 	贵了	c=1 d=1 t=25751
gui le dian 	贵了点	c=1 d=1 t=27988
gui ling 	归零	c=2 d=1 t=32888
gui na 	归纳	c=2 d=1.81058 t=39236
gui nv 	闺女	c=4 d=1.54065 t=36274
gui shi 	柜式	c=1 d=1 t=8330
gui shi 	鬼市	c=2 d=1.78663 t=8379
gui ze 	规则	c=5 d=1 t=38384
gui ze biao 	规则表	c=1 d=1 t=671
gui zhang 	规章	c=1 d=1 t=8408
gui zi 	柜子	c=5 d=1 t=41336
gui zi 	鬼子	c=1 d=1 t=14419
gui zi li 	柜子里	c=1 d=1 t=19347
gun dong 	滚动	c=1 d=1 t=31694
gun tong 	滚筒	c=1 d=1 t=9449
guo 	国	c=3 d=1 t=38885
guo 	果	c=1 d=1 t=25612
guo 	过	c=28 d=0.100004 t=41696
guo chan 	国产	c=9 d=1 t=36441
guo cheng 	过程	c=2 d=1 t=27175
guo hang 	国航	c=2 d=1.92312 t=41533
guo hang 	国行	c=1 d=1 t=41516
guo hou 	过后	c=1 d=1 t=3815
guo hu 	过户	c=0 d=0.1 t=2507
guo ji 	国际	c=4 d=2.41331 t=11768
guo jia 	国家	c=5 d=1.00827 t=32976
guo jia dui 	国家队	c=1 d=1 t=21142
guo lai 	过来	c=16 d=1.0205 t=40347
guo le yi hui er 	过了一会儿	c=1 d=1 t=14832
guo lia yue 	过俩月	c=1 d=1 t=41697
guo liang nian 	过两年	c=1 d=1 t=1603
guo liang tian 	过两天	c=3 d=1 t=34344
guo lv 	过滤	c=6 d=2.25432 t=37540
guo lve 	过略	c=1 d=1 t=20620
guo ne 	过呢	c=1 d=1 t=25161
guo nei 	国内	c=22 d=1.00107 t=40158
guo nian 	过年	c=1 d=1 t=9542
guo qi 	过期	c=13 d=2.86516 t=28432
guo qi le 	过期了	c=1 d=1 t=5942
guo qu 	过去	c=21 d=1 t=41969
guo ran 	果然	c=2 d=1 t=22702
guo ri zi 	过日子	c=1 d=1 t=12684
guo wai 	国外	c=14 d=1.28055 t=32483
guo wei 	国伟	c=3 d=2.61209 t=28951
guo wo 	过我	c=1 d=1 t=18197
ha 	哈	c=3 d=1 t=27845
ha ha 	哈哈	c=4 d=1.51944 t=38138
ha ha ha 	哈哈哈	c=7 d=1 t=33942
ha ha ha ha 	哈哈哈哈	c=3 d=1 t=25005
ha ha ha ha ha 	哈哈哈哈哈	c=1 d=1 t=40806
hai 	海	c=1 d=1.1 t=25587
hai 	还	c=70 d=1.36288 t=41100
hai bei 	还被	c=1 d=1 t=31020
hai bian 	海边	c=2 d=1.97531 t=8443
hai bu 	还不	c=5 d=1.00973 t=31178
hai bu gou 	还不够	c=1 d=1 t=32454
hai bu hao 	还不好	c=1 d=1 t=7373
hai bu ru 	还不如	c=1 d=1 t=40225
hai bu ru zuo 	还不如做	c=1 d=1 t=7987
hai bu xing 	还不行	c=1 d=1 t=9215
hai bu zu 	还不租	c=1 d=1 t=30713
hai cha 	还差	c=3 d=1.03561 t=7764
hai cheng 	还成	c=3 d=1 t=23022
hai cou he 	还凑合	c=1 d=1 t=13951
hai dian 	海淀	c=3 d=2.97032 t=30465
hai fa 	还发	c=0 d=0.1 t=32786
hai fa shao 	还发少	c=1 d=1 t=32787
hai fan ying 	还反应	c=1 d=1 t=36037
hai gei 	还给	c=16 d=1.03983 t=39410
hai gei zai 	还给在	c=1 d=1 t=38221
hai hang 	海航	c=1 d=1 t=41512
hai huo zhe 	还活着	c=1 d=1 t=31252
hai jing fang 	海景房	c=1 d=1 t=12067
hai jun 	海军	c=1 d=1 t=22622
hai kan 	还看	c=1 d=1 t=23259
hai ke yi 	还可以	c=2 d=1 t=35575
hai kou 	海口	c=9 d=1 t=13326
hai la lu 	海拉鲁	c=1 d=1 t=30387
hai lao 	还老	c=1 d=1 t=1192
hai long 	海龙	c=4 d=1.00355 t=17313
hai ma 	还骂	c=1 d=1 t=30307
hai mai 	还买	c=0 d=0.1 t=14692
hai man 	还慢	c=1 d=1 t=8640
hai mei 	还没	c=10 d=1 t=40984
hai mei chu 	还没出	c=1 d=1 t=39077
hai mei hui 	还没回	c=1 d=1 t=26205
hai mei you 	还没有	c=4 d=1 t=29927
hai nan 	海南	c=4 d=2.91316 t=8430
hai neng 	还能	c=4 d=1 t=38440
hai neng yong 	还能用	c=2 d=1 t=16234
hai pai 	还拍	c=1 d=1 t=13366
hai qing 	还请	c=1 d=1 t=20754
hai qu 	还去	c=3 d=1 t=27764
hai shao 	还烧	c=1 d=1 t=3843
hai shen 	海参	c=1 d=1 t=38196
hai sheng xia 	还剩下	c=1 d=1 t=25452
hai shi 	还是	c=97 d=1.02683 t=41164
hai shi shuo 	还是说	c=1 d=1 t=31595
hai shou dao 	还受到	c=1 d=1 t=11115
hai ting 	还挺	c=0 d=0.1 t=41065
hai ting da 	还挺大	c=1 d=1 t=29464
hai ting gao 	还挺高	c=1 d=1 t=36778
hai ting hao 	还挺好	c=1 d=1 t=41066
hai xiang 	还想	c=1 d=1 t=3090
hai xing 	还行	c=2 d=1.99501 t=40732
hai yao 	还要	c=10 d=1.00081 t=41798
hai yo 	嗨哟	c=0 d=0.1 t=27616
hai yo pu 	嗨哟普	c=1 d=1 t=27617
hai yong 	还用	c=1 d=1 t=29436
hai you 	还有	c=60 d=1.63553 t=39325
hai you mei you 	还有没有	c=1 d=1 t=39423
hai yuan 	还远	c=1 d=1 t=24292
hai zai 	还在	c=4 d=1.00005 t=40125
hai zai ba 	还在吧	c=1 d=1 t=32133
hai zao 	还早	c=2 d=1.97045 t=7894
hai zhen 	还真	c=1 d=1 t=40749
hai zhen bu hao shuo 	还真不好说	c=1 d=1 t=30428
hai zhen you 	还真有	c=1 d=1 t=29018
hai zi 	孩子	c=19 d=2.58806 t=41681
hai zi 	海子	c=1 d=1 t=41680
han 	喊	c=4 d=1 t=31144
han 	韩	c=2 d=1 t=40815
han gai 	涵盖	c=1 d=1 t=12799
han nan 	汉南	c=1 d=1 t=3314
han shu 	函数	c=9 d=1 t=32318
han yi 	含义	c=1 d=1 t=31268
han yi ju 	喊一句	c=1 d=1 t=9461
han zong 	韩总	c=18 d=1 t=33895
han zong 	韩综	c=4 d=1.00032 t=11359
hang 	行	c=3 d=1.12185 t=37407
hang shu 	行数	c=2 d=1 t=34687
hang zhou 	杭州	c=1 d=1 t=27493
hao 	号	c=62 d=1.43112 t=40598
hao 	好	c=66 d=1.85491 t=41787
hao ba 	好吧	c=4 d=1 t=41409
hao bi 	好比	c=2 d=1 t=36004
hao cai 	耗材	c=1 d=1 t=36862
hao chi 	好吃	c=2 d=1 t=38538
hao chi de 	好吃的	c=1 d=1 t=34285
hao chu 	好处	c=1 d=1 t=3203
hao de 	好的	c=44 d=1.64404 t=41628
hao de xiao qu 	好的小区	c=1 d=1 t=27316
hao dian 	好点	c=8 d=1.01067 t=30726
hao duo 	好多	c=19 d=1.00003 t=41074
hao duo ren 	好多人	c=3 d=1.00002 t=24979
hao fang zi 	好房子	c=1 d=1 t=19537
hao gui 	好贵	c=1 d=1 t=9765
hao hao 	好好	c=1 d=1 t=9420
hao ji bai 	好几百	c=2 d=1 t=34478
hao ji ge 	好几个	c=2 d=1 t=22144
hao ji ge ren 	好几个人	c=1 d=1 t=6063
hao ji shi 	好几十	c=1 d=0.1 t=31809
hao ji shi ge 	好几十个	c=1 d=1 t=31810
hao ji tian 	好几天	c=1 d=1 t=40692
hao ji you 	好基友	c=1 d=1 t=8822
hao jiu 	好久	c=1 d=1 t=7793
hao kan 	好看	c=5 d=1.49927 t=21723
hao le 	好了	c=50 d=1.00724 t=40394
hao le me 	好了么	c=1 d=1 t=34418
hao lou 	号楼	c=1 d=1 t=19045
hao ma 	好吗	c=1 d=1 t=20223
hao ping 	好评	c=1 d=1 t=18540
hao ren 	好人	c=1 d=1 t=39095
hao sheng 	毫升	c=1 d=1 t=20367
hao shi 	好事	c=1 d=1 t=28033
hao shu 	好书	c=1 d=1 t=27682
hao shuo 	好说	c=1 d=1 t=7310
hao ting 	好听	c=1 d=1 t=15062
hao wan 	好玩	c=1 d=1 t=36035
hao wan ma 	好玩吗	c=1 d=1 t=33974
hao xian 	号线	c=1 d=1 t=1340
hao xian a 	好闲啊	c=0 d=0.1 t=39088
hao xian a ni gan 	好闲啊你敢	c=1 d=1 t=39089
hao xiang 	好像	c=29 d=1.00004 t=41308
hao xiang shi 	好像是	c=2 d=1 t=36671
hao xue xiao 	好学校	c=1 d=1 t=36160
hao yang mao 	薅羊毛	c=1 d=1 t=6947
hao yi dian 	好一点	c=5 d=1 t=39359
hao yi xie 	好一些	c=1 d=1 t=28578
hao yong 	好用	c=4 d=1.17817 t=25311
hao zi 	耗子	c=2 d=1.06204 t=20619
he 	合	c=5 d=1 t=26404
he 	和	c=83 d=1.7987 t=41913
he 	喝	c=3 d=0.1 t=41719
he 	盒	c=1 d=1 t=16984
he 	贺	c=1 d=1 t=28158
he bian 	河边	c=1 d=1 t=19025
he bing 	合并	c=8 d=1 t=37339
he cha 	喝茶	c=1 d=1 t=30601
he de 	喝的	c=1 d=1 t=27616
he dui 	核对	c=6 d=1.77964 t=36084
he duo 	喝多	c=2 d=1 t=27584
he duo le 	喝多了	c=1 d=1 t=40782
he he 	呵呵	c=1 d=1 t=27118
he huo 	合伙	c=1 d=1 t=8372
he huo ren 	合伙人	c=1 d=1 t=1947
he ji 	合计	c=1 d=1 t=10317
he jiu 	喝酒	c=6 d=2.73959 t=27623
he le 	喝了	c=2 d=1.71534 t=20424
he ma 	河马	c=1 d=1 t=9962
he na 	和那	c=0 d=0.1 t=33252
he na hao 	和那号	c=1 d=1 t=33253
he nan 	河南	c=1 d=1 t=31573
he ni 	和你	c=3 d=1 t=34074
he qing he li 	合情合理	c=1 d=1 t=40681
he shi 	合适	c=11 d=1 t=35852
he shui 	喝水	c=1 d=1 t=9602
he suan 	核酸	c=3 d=1.26185 t=17348
he tong 	合同	c=41 d=5.12774 t=40457
he tong le 	合同了	c=1 d=1 t=29605
he tong xue 	何同学	c=1 d=1 t=6751
he wo 	和我	c=2 d=1 t=28356
he xin 	核心	c=1 d=1 t=29974
he yi bei 	喝一杯	c=1 d=1 t=19263
he yue 	合约	c=1 d=1 t=6975
he yue jia 	合约价	c=1 d=1 t=22495
he yun wei 	何云伟	c=1 d=1 t=38356
he zai 	合在	c=1 d=1 t=41091
he zhe 	合着	c=1 d=1 t=25156
he zi 	盒子	c=1 d=1 t=36883
he zong 	贺总	c=3 d=2.21744 t=28287
he zu 	合租	c=4 d=1.96079 t=13494
he zuo 	合作	c=1 d=1 t=27457
hei 	黑	c=3 d=2.61316 t=22402
hei che 	黑车	c=3 d=2.87528 t=4960
hei hong 	黑红	c=1 d=1 t=22377
hei ke 	黑客	c=2 d=1 t=29998
hei ping guo 	黑苹果	c=1 d=1 t=38512
hei se 	黑色	c=1 d=1 t=10761
hen 	很	c=4 d=1 t=21839
hen chang 	很长	c=1 d=1 t=21800
hen da 	很大	c=1 d=1 t=12663
hen di diao 	很低调	c=1 d=1 t=19041
hen duan 	很短	c=1 d=1 t=21831
hen dui 	很对	c=1 d=1 t=30443
hen duo 	很多	c=26 d=1.29248 t=41325
hen duo ren 	很多人	c=3 d=1 t=24881
hen duo zhong 	很多种	c=1 d=1 t=29981
hen fu za 	很复杂	c=1 d=1 t=22441
hen gao 	很高	c=1 d=1 t=12963
hen hao 	很好	c=4 d=0.1 t=41420
hen hao ban 	很好办	c=1 d=1 t=41421
hen ji 	痕迹	c=1 d=1 t=24320
hen jian dan 	很简单	c=1 d=1 t=36773
hen jiu 	很久	c=2 d=1 t=38669
hen ke neng 	很可能	c=1 d=1 t=30992
hen kua zhang 	很夸张	c=1 d=1 t=5598
hen kuai 	很快	c=7 d=1.41201 t=28483
hen ma fan 	很麻烦	c=3 d=1 t=40488
hen man 	很慢	c=1 d=1 t=28516
hen nan 	很难	c=2 d=1.98511 t=31574
hen pu tong 	很普通	c=1 d=1 t=29774
hen rong yi 	很容易	c=1 d=1 t=22443
hen ruo 	很弱	c=2 d=1 t=18711
hen shao 	很少	c=1 d=1 t=36725
hen xi huan 	很喜欢	c=1 d=1 t=30422
hen xiao 	很小	c=3 d=1.99501 t=35319
hen xin 	很新	c=1 d=1 t=12965
hen you 	很有	c=2 d=1.00071 t=36761
hen zheng chang 	很正常	c=1 d=1 t=1045
hen zhun que 	很准确	c=1 d=1 t=19084
heng 	恒	c=2 d=1.39653 t=2757
heng chang 	恒昌	c=1 d=1 t=23348
heng chang hua yuan 	恒昌花园	c=2 d=1.91851 t=23867
heng qi tiao 	横七条	c=10 d=1 t=27335
heng tiao 	横跳	c=2 d=1.89137 t=23533
heng zhe 	横着	c=2 d=1 t=21530
hong 	红	c=4 d=1 t=28852
hong bao 	红包	c=1 d=1 t=11924
hong deng 	红灯	c=1 d=1 t=4951
hong e 	红鹅	c=2 d=1.00089 t=24633
hong ju jie 	红居街	c=1 d=1 t=23345
hong lian 	红莲	c=2 d=1.96561 t=23489
hong lou meng 	红楼梦	c=1 d=1 t=25346
hong se 	红色	c=2 d=1 t=25699
hong shan 	宏善	c=1 d=1 t=6050
hong shan 	红山	c=12 d=1.81062 t=30231
hong yi fu 	烘衣服	c=1 d=1 t=8853
hong yi fu 	红衣服	c=1 d=1 t=8854
hou 	后	c=19 d=1 t=39977
hou 	猴	c=1 d=1 t=9107
hou bei xiang 	后备箱	c=2 d=1.91393 t=14024
hou che men 	后车门	c=2 d=1.14299 t=11380
hou duan 	后端	c=3 d=1 t=32156
hou hui 	后悔	c=1 d=1 t=7931
hou lai 	后来	c=24 d=1.00054 t=41043
hou lu 	后路	c=1 d=1 t=27540
hou mian 	后面	c=49 d=1.42708 t=40152
hou qi 	后期	c=1 d=1 t=21466
hou san ge 	后三个	c=1 d=1 t=33768
hou tai 	后台	c=34 d=1.0001 t=41638
hou ti a 	后提啊	c=1 d=1 t=22331
hou tian 	后天	c=1 d=1 t=31869
hou xu 	后续	c=4 d=1 t=34083
hou yi nian 	后一年	c=1 d=1 t=18772
hou zuo 	后座	c=1 d=1 t=14280
hu 	壶	c=1 d=1 t=20362
hu 	胡	c=2 d=1 t=25096
hu 	虎	c=3 d=1.00005 t=35335
hu die 	蝴蝶	c=1 d=1 t=35897
hu dong 	互动	c=1 d=1 t=31690
hu hu 	呼呼	c=1 d=1 t=34275
hu hua 	胡话	c=1 d=1 t=39277
hu jia lou 	呼家楼	c=1 d=1 t=16462
hu jiao 	呼叫	c=12 d=1.00089 t=41990
hu lai 	胡来	c=1 d=1 t=34561
hu lian wang 	互联网	c=4 d=1 t=27567
hu lve 	忽略	c=4 d=1 t=35240
hu lve le 	忽略了	c=1 d=1 t=14942
hu nong 	糊弄	c=2 d=1 t=30212
hu wei dui 	护卫队	c=1 d=1 t=14128
hu xi dao 	呼吸道	c=3 d=1.98823 t=35354
hu xiang 	互相	c=1 d=1 t=22264
hu zhao 	护照	c=4 d=2.88014 t=33725
hu zhao ben 	护照本	c=1 d=1 t=1755
hu zi 	胡子	c=1 d=1 t=17999
hua 	华	c=2 d=1.30728 t=36280
hua 	画	c=1 d=1 t=2688
hua 	花	c=5 d=1.00025 t=14570
hua 	话	c=9 d=1 t=39273
hua bei dian li 	华北电力	c=1 d=1 t=3583
hua dong 	滑动	c=1 d=1 t=29535
hua duo shao qian 	花多少钱	c=1 d=1 t=36867
hua fei 	话费	c=3 d=1 t=40899
hua ge 	花格	c=1 d=1 t=2686
hua hua 	画画	c=1 d=1 t=18555
hua hua ke 	画画课	c=2 d=1 t=18869
hua jie 	化解	c=1 d=1 t=9604
hua la 	划拉	c=1 d=1 t=2020
hua le 	花了	c=2 d=1 t=33336
hua li 	话里	c=1 d=1 t=2744
hua mian 	画面	c=1 d=1 t=26880
hua qian 	花钱	c=8 d=1.64082 t=40949
hua qiang bei 	华强北	c=2 d=1.62189 t=36554
hua shuo 	华硕	c=3 d=2.44191 t=24929
hua tai 	华泰	c=1 d=1 t=27462
hua wei 	华为	c=3 d=1.87812 t=8908
hua wei yun 	华为云	c=4 d=1.95123 t=26955
hua xian zi 	花仙子	c=1 d=1 t=14941
hua xue 	化学	c=1 d=1 t=26522
hua yu yue tan 	华语乐坛	c=2 d=1.90032 t=14966
hua yuan 	花园	c=1 d=1 t=23349
hua zai 	花在	c=1 d=1 t=24867
hua zi 	华子	c=1 d=1 t=20285
huai 	坏	c=1 d=0.1 t=32809
huai le 	坏了	c=2 d=0.1 t=38640
huai qu na 	坏去哪	c=1 d=1 t=32810
huai yi 	怀疑	c=5 d=1 t=39885
huan 	换	c=24 d=1.0001 t=40701
huan 	环	c=1 d=1 t=19684
huan cheng 	换成	c=5 d=1.00352 t=17695
huan cun 	缓存	c=6 d=2.63586 t=9484
huan de 	换的	c=1 d=1 t=14474
huan di fang 	换地方	c=1 d=1 t=24367
huan ge 	换个	c=2 d=1 t=17840
huan ge pi 	换个皮	c=1 d=1 t=7115
huan hang 	换行	c=1 d=1 t=29707
huan jing 	环境	c=24 d=1 t=40315
huan jue 	幻觉	c=4 d=1 t=39336
huan ke 	换壳	c=3 d=1.95645 t=25704
huan le 	欢乐	c=3 d=1 t=41232
huan le ge 	换了个	c=1 d=1 t=40646
huan lian 	换脸	c=1 d=1 t=41224
huan pi 	换皮	c=1 d=1 t=7123
huan yi xia 	缓一下	c=1 d=1 t=26141
huang 	黄	c=2 d=1 t=32035
huang che 	黄车	c=1 d=1 t=29155
huang di 	皇帝	c=1 d=1 t=32428
huang ji huang 	黄记煌	c=5 d=3.29815 t=29052
huang le 	黄了	c=1 d=1 t=32002
huang se 	黄色	c=1 d=1 t=13757
huang tui 	黄推	c=1 d=1 t=5192
huang ze yu 	黄泽雨	c=18 d=1.8825 t=41901
huang zi 	黄子	c=2 d=1 t=18866
huang zi ang 	黄子昂	c=14 d=1.00003 t=28060
hui 	会	c=49 d=1.88339 t=39762
hui 	回	c=15 d=1.00003 t=41039
hui 	辉	c=1 d=1 t=5917
hui ba 	会把	c=1 d=1 t=31512
hui bei 	会被	c=3 d=1.97045 t=34929
hui ben 	回本	c=1 d=1 t=10688
hui bu hui 	会不会	c=2 d=1 t=41302
hui chan 	灰产	c=1 d=1 t=7807
hui cun zai 	会存在	c=1 d=1 t=37529
hui da 	回答	c=12 d=3.79981 t=38914
hui de jia 	回的家	c=1 d=1 t=20418
hui fa sheng 	会发生	c=1 d=1 t=29658
hui fu 	回复	c=11 d=1 t=39532
hui fu 	恢复	c=1 d=1 t=20199
hui gai 	悔改	c=1 d=1 t=3520
hui gei 	会给	c=1 d=1 t=11038
hui gun 	回滚	c=2 d=1.97531 t=4095
hui guo 	回国	c=1 d=1 t=1982
hui jia 	回家	c=17 d=1 t=41936
hui jiang 	会讲	c=1 d=1 t=17730
hui lai 	回来	c=16 d=1.03159 t=41493
hui lai le 	回来了	c=1 d=1 t=7209
hui lai le ba 	回来了吧	c=1 d=1 t=36960
hui long guan 	回龙观	c=3 d=2.57002 t=3678
hui qu 	回去	c=9 d=1 t=36838
hui shi 	回事	c=1 d=1 t=39283
hui shou 	回收	c=2 d=1.9802 t=38492
hui shuo 	会说	c=1 d=1 t=9893
hui tou 	回头	c=34 d=1.34008 t=41960
hui wan 	会玩	c=0 d=0.1 t=8832
hui wan de 	会玩的	c=1 d=1 t=8833
hui yi 	会议	c=1 d=1 t=26281
hui yi hao 	会议号	c=1 d=1 t=25966
hui yi shi 	会议室	c=2 d=1.81465 t=41988
hui you 	会有	c=6 d=1 t=37351
hui yuan 	会员	c=3 d=1 t=22486
hui yuan ka 	会员卡	c=3 d=2.30487 t=13861
hui zhan 	会展	c=1 d=1 t=3756
hui zong 	汇总	c=1 d=1 t=37304
hun 	混	c=1 d=1 t=33106
hun bu xia qu 	混不下去	c=1 d=1 t=14233
hun dou luo 	魂斗罗	c=1 d=1 t=69
hun zi 	混子	c=1 d=1 t=41150
huo 	活	c=5 d=1.0035 t=33951
huo 	火	c=4 d=1.00025 t=16572
huo 	货	c=4 d=1.00009 t=13976
huo che 	火车	c=3 d=1.99005 t=27098
huo che 	货车	c=2 d=1 t=10693
huo che piao 	火车票	c=1 d=1 t=7197
huo che zhan 	火车站	c=4 d=3.00516 t=10866
huo de 	获得	c=2 d=1 t=29987
huo dong 	活动	c=3 d=1.31907 t=41556
huo fen 	活分	c=2 d=1.00149 t=13045
huo hao 	货号	c=1 d=1 t=13980
huo jia 	货架	c=1 d=1 t=9956
huo la la 	货拉拉	c=5 d=1 t=14085
huo le 	活了	c=1 d=1 t=25439
huo le 	火了	c=2 d=1 t=14943
huo qu 	获取	c=13 d=1 t=37278
huo quan 	火圈	c=1 d=1 t=25054
huo sheng 	获胜	c=1 d=1 t=24449
huo xian 	火线	c=1 d=1 t=20019
huo zhe 	或者	c=76 d=2.2453 t=40251
huo zhe man 	或者慢	c=1 d=1 t=16239
ji 	几	c=2 d=1.21871 t=29747
ji 	及	c=5 d=1.9802 t=37707
ji 	挤	c=1 d=1 t=12160
ji 	机	c=3 d=1.33121 t=40832
ji 	鸡	c=4 d=1.58275 t=34022
ji ba 	几把	c=1 d=1 t=9037
ji bai 	几百	c=1 d=1 t=22490
ji bai kuai qian 	几百块钱	c=2 d=1 t=36463
ji ben 	基本	c=38 d=1.24483 t=38451
ji ben chang shi 	基本常识	c=1 d=1 t=22343
ji ben dou shi 	基本都是	c=2 d=1.00003 t=32520
ji bie 	级别	c=3 d=1.81058 t=39950
ji bo 	几波	c=1 d=1 t=38615
ji bu qing chu 	记不清楚	c=1 d=1 t=13791
ji bu qing le 	记不清了	c=1 d=1 t=13698
ji chang 	机场	c=2 d=1 t=8752
ji cheng 	集成	c=1 d=1 t=10108
ji chu 	基础	c=2 d=1.00002 t=28317
ji chu ban 	基础版	c=1 d=1 t=12616
ji chu ban 	基础班	c=1 d=1 t=12615
ji chu shang 	基础上	c=2 d=1.57695 t=22406
ji ci 	几次	c=5 d=1 t=32059
ji cuo 	记错	c=1 d=1 t=36674
ji de 	记得	c=21 d=1.02948 t=40372
ji de me 	记得么	c=1 d=1 t=36891
ji dian 	几点	c=8 d=1.1764 t=36402
ji dian dao 	几点到	c=1 d=1 t=2908
ji dong 	激动	c=1 d=1 t=1134
ji duan 	极端	c=1 d=1 t=32870
ji e de 	饥饿的	c=1 d=1 t=13618
ji er 	鸡儿	c=1 d=1 t=3640
ji fan 	机翻	c=1 d=1 t=26903
ji fang 	机房	c=7 d=1.00294 t=25128
ji fei 	计费	c=2 d=1.99501 t=11819
ji fen 	积分	c=2 d=1.70117 t=40988
ji ge 	几个	c=51 d=1.54652 t=41117
ji ge dian 	几个店	c=1 d=1 t=11178
ji ge ren 	几个人	c=3 d=1 t=25052
ji ge yue 	几个月	c=1 d=1 t=32182
ji gui 	机柜	c=18 d=9.6646 t=21758
ji hao 	几号	c=2 d=1 t=31395
ji hao 	记号	c=1 d=1 t=28459
ji hu 	几乎	c=5 d=1 t=39687
ji hua 	计划	c=6 d=1 t=39808
ji hui 	机会	c=1 d=1 t=30003
ji huo 	激活	c=3 d=1.88692 t=36562
ji ji 	几级	c=1 d=1 t=19157
ji ji 	积极	c=1 d=1 t=27306
ji ji xiang shang 	积极向上	c=1 d=1 t=31184
ji jia 	几家	c=3 d=1 t=36428
ji jia dian 	几家店	c=1 d=1 t=34399
ji jiang 	即将	c=1 d=1 t=28301
ji jie 	季节	c=3 d=1.93307 t=13343
ji jin 	基金	c=1 d=1 t=5172
ji ke 	即可	c=2 d=1 t=15341
ji kou 	几口	c=1 d=1 t=21459
ji kuai 	几块	c=2 d=1 t=29126
ji kuai qian 	几块钱	c=1 d=1 t=9705
ji lu 	记录	c=29 d=1.06111 t=37699
ji lu pian 	纪录片	c=1 d=1 t=1990
ji lun 	几轮	c=1 d=1 t=5337
ji mao qian 	几毛钱	c=1 d=1 t=26406
ji neng 	技能	c=1 d=1 t=40517
ji nian 	几年	c=3 d=1 t=32000
ji nian ji 	几年级	c=2 d=1 t=36276
ji nian qian 	几年前	c=1 d=1 t=13682
ji piao 	机票	c=4 d=1.80654 t=41551
ji ping 	几瓶	c=1 d=1 t=25764
ji qi 	机器	c=14 d=1.39635 t=26687
ji qi fan yi 	机器翻译	c=1 d=1 t=8301
ji qi ren 	机器人	c=5 d=2.04291 t=21308
ji qian 	几千	c=4 d=1 t=32947
ji qian wan 	几千万	c=1 d=1 t=8893
ji qun 	集群	c=4 d=1.956 t=29663
ji shi 	及时	c=2 d=1 t=26966
ji shi ge 	几十个	c=3 d=1 t=37188
ji shi gong li 	几十公里	c=1 d=1 t=11352
ji shi jia 	几十家	c=1 d=1 t=35123
ji shi nian 	几十年	c=1 d=1 t=27709
ji shi wan 	几十万	c=2 d=1 t=13281
ji shi wan fen 	几十万份	c=1 d=1 t=5601
ji shu 	技术	c=9 d=1.66698 t=30048
ji shu bu 	技术部	c=1 d=1 t=29054
ji shu quan 	技术圈	c=3 d=1.00048 t=21694
ji suan 	计算	c=14 d=1.10772 t=38183
ji suan ji 	计算机	c=1 d=1 t=19155
ji suan liang 	计算量	c=1 d=1 t=28562
ji suan qi 	计算器	c=2 d=1 t=37494
ji tai 	几台	c=2 d=1 t=29669
ji ti 	集体	c=0 d=0.1 t=40903
